track_name,artist,album,release_date,duration,popularity,explicit,track_number,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri
SR20DET,Blksmiith,「DIGITAL TWIN」,2022-01-14,278250,37,False,7,0.275,0.888,4,-7.229,1,0.0399,0.0003,0.953,0.256,0.0391,112.534,spotify:track:3fEkeE0XSS4aUAuxZohaPV
End Of The World,Hether,Covered In Hether,2023-03-17,160675,41,False,2,0.612,0.175,11,-16.338,0,0.0323,0.97,0.00176,0.131,0.239,95.86,spotify:track:5fayurvS00m3T7fcXBkb7e
Sad Song,Hether,Covered In Hether,2023-03-17,206578,27,False,8,0.658,0.31,2,-14.72,1,0.0342,0.874,0.635,0.147,0.402,77.352,spotify:track:0Dbt66O7sFTr8L6HFlcpp1
Alegría - Yuksek Remix,Elia y Elizabeth,Alegría (Yuksek Remix) - Single,2020-10-02,258235,52,False,1,0.838,0.719,4,-8.831,1,0.0949,0.00845,0.00522,0.0377,0.86,111.021,spotify:track:5Ly9lKxeE9YMVwQj52dpfo
Love and Death,Ebo Taylor,Love & Death,2010-10-25,415090,47,False,3,0.741,0.896,0,-7.208,1,0.0502,0.135,0.461,0.12,0.871,102.453,spotify:track:2EdcEOJf2V8xMOTO7q2gCN
Saana,Ebo Taylor,Ebo Taylor,1978,349146,33,False,1,0.689,0.758,0,-6.601,1,0.0557,0.613,0.18,0.104,0.825,108.438,spotify:track:2ULAGskxuv9oRp88TAG3JX
Atwer Abroba,Ebo Taylor,Life Stories,1977,492339,37,False,1,0.723,0.883,5,-6.595,0,0.0645,0.24,0.304,0.0951,0.847,109.533,spotify:track:4P7wLOCCB1kcjzA9gqKt1V
Runner Up,Okonski,By The Lake / Runner Up,2023-04-04,337643,22,False,2,0.602,0.306,2,-13.155,0,0.0735,0.623,0.955,0.163,0.271,66.653,spotify:track:43ozGvFRYbgl1YhNGPfrRN
Long Time - Intro,Playboi Carti,Die Lit,2018-05-11,211773,73,True,1,0.472,0.861,4,-3.966,0,0.0447,0.283,0.0,0.83,0.358,144.077,spotify:track:4IO2X2YoXoUMv0M2rwomLC
For Granted,Yaeji,For Granted,2023-01-17,161946,43,False,1,0.722,0.613,0,-8.394,1,0.0411,0.119,0.083,0.112,0.398,92.495,spotify:track:61h5rJ790Vov9ks2Vut5mo
Love Hurts (feat. Travis Scott),Playboi Carti,Die Lit,2018-05-11,180560,67,True,5,0.724,0.45,4,-5.763,0,0.0497,0.0315,1.42e-05,0.111,0.464,140.978,spotify:track:3K6U7TamNyVSWcFH8pCQHX
Poke It Out (with Nicki Minaj),Playboi Carti,Die Lit,2018-05-11,269813,60,True,8,0.894,0.59,9,-5.716,1,0.221,0.0969,8.9e-06,0.329,0.576,147.009,spotify:track:2rPSFKzGeqUWwfcCFVkkq3
Piani,Jo Tongo,Jo Tongo,2015-05-05,276562,17,False,5,0.706,0.766,9,-7.517,0,0.0453,0.237,0.00402,0.196,0.821,119.243,spotify:track:7nSnbEFiLovMXiW7aBTi51
Latin Strut,Esperanto,"Black Feeling, Vol. 3 (Sampler)",2015-08-28,291213,5,False,2,0.601,0.849,7,-8.345,0,0.0359,0.00127,0.862,0.157,0.801,131.971,spotify:track:3aM05Ta8AP8kikVfbmL5HM
Jackie Down The Line,Fontaines D.C.,Skinty Fia,2022-04-22,241093,62,False,4,0.547,0.88,7,-4.562,1,0.0442,0.0102,0.0,0.0884,0.44,134.981,spotify:track:3ITvhrRB5TlEks19k9qy2k
I Love You,Fontaines D.C.,Skinty Fia,2022-04-22,305800,64,True,9,0.633,0.771,4,-7.207,0,0.0319,0.089,0.0,0.0679,0.375,114.032,spotify:track:4N8idxy0W2GDaEosAwPOMg
Welcome 2 Leather Boulevard,B. Cool-Aid,Leather Blvd.,2023-03-31,173849,25,True,1,0.407,0.519,1,-13.199,0,0.0631,0.0235,0.000114,0.13,0.225,119.702,spotify:track:0dHfreHFwUwhLvx5kCcqOQ
Diamonds,B. Cool-Aid,Leather Blvd.,2023-03-31,188496,26,True,3,0.6,0.41,8,-12.147,1,0.317,0.0865,0.00541,0.121,0.255,97.001,spotify:track:20tMFzQngWtXPNVUSI0XhU
soundgood,B. Cool-Aid,Leather Blvd.,2023-03-31,163323,46,True,5,0.755,0.476,2,-8.505,1,0.0306,0.0967,0.0235,0.129,0.595,82.022,spotify:track:798CdilHgi0FdJmhWH4Hqv
If u can See Me ( 4U ),B. Cool-Aid,Leather Blvd.,2023-03-31,117358,29,True,7,0.769,0.45,7,-8.567,1,0.233,0.16,0.00117,0.801,0.632,91.97,spotify:track:6vlElI0I5raAFIE4CLA6Dm
“CRAXY”’!,B. Cool-Aid,Leather Blvd.,2023-03-31,253328,17,True,11,0.42,0.868,2,-8.686,1,0.322,0.0139,0.00115,0.451,0.598,218.036,spotify:track:2BetLUzFFEtvYaLnpVkgkV
Try Me,Jorja Smith,Try Me,2023-04-13,213933,46,False,1,0.701,0.575,6,-6.941,0,0.0751,0.119,0.00133,0.135,0.634,105.093,spotify:track:3htVhQPsTXWAkAXYRkfRSz
The Best Things In Life Are Free - Live,Sam Cooke,"Sam Cooke At The Copa (Live From Copacabana, New York City/July 7 & 8, 1964)",1964-01-01,91866,40,False,2,0.603,0.693,1,-7.832,1,0.425,0.16,0.0,0.315,0.795,136.507,spotify:track:6jF3FFsAvliEqH0mWrkOla
Melodicamente - Afronaut Remix,Don Pascal,The Mindelo Experiment,2022-11-11,306885,7,False,7,0.437,0.602,11,-6.552,0,0.224,0.000112,0.93,0.0446,0.503,182.504,spotify:track:38eM3TKP0qrEWibahDeizX
Summer Nights,Lonnie Liston Smith,Visions of a New World,1975-01-01,305613,43,False,8,0.532,0.396,5,-11.835,0,0.0287,0.41,0.00104,0.0948,0.381,106.158,spotify:track:6UafismKR6D8PCFrWn93ND
Afro-Bruk,Don Pascal,The Mindelo Experiment,2022-11-11,216961,1,False,6,0.754,0.757,4,-8.209,0,0.0474,0.00124,0.834,0.0931,0.647,125.019,spotify:track:7LCJpqmNrk5v8aaEV755YY
For Your Love - Kamma & Masalo Radio Mix,Discotheque,For Your Love (Kamma & Masalo Radio Mix),2022-10-28,243933,28,False,1,0.686,0.893,0,-10.174,1,0.0441,0.145,0.596,0.291,0.957,137.317,spotify:track:1vtWCEGbHaafRuxt7JoGvw
Passa Sab - Evm128 Remix,Don Pascal,The Mindelo Experiment,2022-11-11,303750,1,False,8,0.789,0.885,7,-7.245,1,0.148,0.0298,0.801,0.0483,0.807,127.998,spotify:track:0KK2bY7Oz4GfppIMXvEjFO
Cape Verdean Bruk - Haze City Remix,Don Pascal,The Mindelo Experiment,2022-11-11,231500,2,False,9,0.796,0.759,2,-7.598,1,0.048,0.000135,0.858,0.107,0.353,127.012,spotify:track:2DfynRddBgL4bBlIB2s1GV
Melodicamente - Karmasound Remix,Don Pascal,The Mindelo Experiment,2022-11-11,329000,0,False,10,0.857,0.711,11,-8.029,0,0.145,0.0436,0.772,0.0511,0.707,125.036,spotify:track:61YDTCpcZ2wogSBBXvIVOU
Sao Vincente,Don Pascal,The Mindelo Experiment,2022-11-11,198361,1,False,12,0.569,0.985,11,-9.508,0,0.0575,0.0284,0.837,0.235,0.296,119.899,spotify:track:3CFyNhPaNBl8psXDlJlGri
Cape Verdean Bruk - Cape Verd 'n' Bass Remix,Don Pascal,The Mindelo Experiment,2022-11-11,344470,2,False,14,0.687,0.871,2,-5.688,1,0.0677,0.0695,0.868,0.0736,0.501,170.028,spotify:track:6bkoEnlvdqlBFymRuQUANO
Expansions,Lonnie Liston Smith,Expansions,1975-01-01,366866,45,False,1,0.537,0.694,5,-12.195,0,0.0509,0.114,0.0879,0.346,0.924,126.808,spotify:track:1DoWUjcc5sqpRioFPioogU
Bns,Standing On The Corner,Standing on the Corner,2017-09-29,184794,34,True,1,0.436,0.585,5,-8.871,0,0.0516,0.505,0.000587,0.491,0.236,99.661,spotify:track:29w2eN6ZMRZ50t4Eh7iRGy
Genesis,Grimes,Visions,2012-03-12,255320,73,False,2,0.611,0.677,10,-6.745,0,0.034,0.0764,0.0698,0.241,0.233,166.04,spotify:track:0yljUudXzjVcGEoYmLB17X
Love - Skin On Skin Remix,SWIM,Love (Remixes),2021-04-27,370135,35,False,3,0.738,0.653,9,-7.541,1,0.0351,0.197,0.776,0.112,0.546,136.003,spotify:track:0xDWTpiDosHMLkfHEl7Tgs
Your Love,Future Utopia,Your Love,2023-03-31,193893,26,False,1,0.727,0.759,5,-7.114,0,0.0455,0.373,0.843,0.106,0.63,113.03,spotify:track:1ZvUKEzJM4s4LyPhj70oaP
We Were We Still Are,Future Utopia,Your Love,2023-03-31,177920,14,False,2,0.639,0.936,10,-5.917,0,0.0333,0.00316,0.756,0.198,0.762,114.034,spotify:track:2EtpyFXmMkcgEnTgdts5FW
Seaforth,King Krule,Seaforth,2023-04-13,245933,38,False,1,0.472,0.487,7,-12.763,1,0.0384,0.0829,0.642,0.255,0.338,199.998,spotify:track:0ws8eQLYkwVWWw6oizEtmy
DONTLEAVEMYSIDE,Ray Laurél,DONTLEAVEMYSIDE,2023-04-12,126965,24,False,1,0.628,0.603,1,-5.521,1,0.232,0.0297,0.0,0.0855,0.73,160.271,spotify:track:5dx52a9oh4Vm7XbkqCn7Dq
Sex,DjRUM,Portrait with Firewood,2018-08-17,507368,26,False,5,0.614,0.866,6,-9.781,0,0.041,0.00338,0.899,0.116,0.0523,132.983,spotify:track:5g1PPfVJKxaTweGxJhgnue
4EVA (feat. Pharrell Williams),KAYTRAMINÉ,4EVA (feat. Pharrell Williams),2023-04-07,190373,56,True,1,0.83,0.695,6,-9.445,0,0.0716,0.0248,0.0755,0.0573,0.536,112.046,spotify:track:3CblJq8QQQ0bb7vwJu8c3v
Música Maravilha,Sandra De Sá,Sandra de Sá - 1982,1982-01-01,193893,22,False,2,0.685,0.708,1,-8.783,0,0.101,0.137,6.66e-05,0.0767,0.654,125.622,spotify:track:0CpEiXnA9K1ZrqbdRqqwnH
Areyousure?,Yoofee,Shouts 2022,2022-12-02,240453,3,False,1,0.767,0.814,11,-9.533,0,0.0698,0.00842,0.881,0.0773,0.44,129.978,spotify:track:0pG3NBFnQjHISlyOkxuNhM
Junglizer,Jurango,Shouts 2022,2022-12-02,273133,1,False,19,0.831,0.924,4,-5.251,0,0.104,0.00349,0.447,0.15,0.288,127.989,spotify:track:3M8urJTBcDSzO6HAin0UgF
Got 2 (Let It Go),Fiyahdred,Shouts 2022,2022-12-02,298066,2,False,3,0.674,0.877,7,-5.725,1,0.0487,0.0608,0.465,0.0921,0.77,128.989,spotify:track:4CR6X5TsOA9CwF6SsoH1kE
Like Mine,billy2chips,Shouts 2022,2022-12-02,244040,1,False,4,0.794,0.906,1,-8.067,1,0.0637,7.76e-05,0.91,0.0366,0.489,134.005,spotify:track:3DlOxDqZD9ygneX0oM7Esp
Flow State,Stephen Howe,Shouts 2022,2022-12-02,385453,1,False,20,0.793,0.878,3,-8.896,1,0.059,0.036,0.775,0.0932,0.606,131.013,spotify:track:47fj7LQinJV2YfbA4fCAKB
Mild Life Crisis,Eoin DJ,Shouts 2022,2022-12-02,307146,0,False,21,0.753,0.87,7,-8.179,1,0.0556,0.00111,0.864,0.0222,0.75,139.996,spotify:track:251zr8SDdX1H5hDNWSIAxq
Rain Dance,Manami,Shouts 2022,2022-12-02,319133,0,False,22,0.705,0.98,8,-6.007,1,0.0499,0.00206,0.816,0.124,0.553,133.003,spotify:track:7k6yGK57LDYWWE7oZJHCkM
Theirs13,JGrrey,Theirs13,2023-01-18,124137,31,False,1,0.602,0.579,5,-8.023,0,0.0492,0.283,0.0177,0.0909,0.47,87.018,spotify:track:63kj5bCib1ovmtty6OllEt
Theirs13,JGrrey,Theirs13,2023-01-18,124137,31,False,1,0.602,0.579,5,-8.023,0,0.0492,0.283,0.0177,0.0909,0.47,87.018,spotify:track:63kj5bCib1ovmtty6OllEt
Theirs13,JGrrey,Theirs13,2023-01-18,124137,31,False,1,0.602,0.579,5,-8.023,0,0.0492,0.283,0.0177,0.0909,0.47,87.018,spotify:track:63kj5bCib1ovmtty6OllEt
Theirs13,JGrrey,Theirs13,2023-01-18,124137,31,False,1,0.602,0.579,5,-8.023,0,0.0492,0.283,0.0177,0.0909,0.47,87.018,spotify:track:63kj5bCib1ovmtty6OllEt
Broccoli Break,Suff Daddy,Basically Sober,2022-02-25,79636,19,False,12,0.921,0.272,5,-11.044,0,0.405,0.0388,0.0971,0.104,0.506,110.025,spotify:track:5j8kEnblX3V0w92smQVoSb
No Older,IZCO,No Older,2022-09-02,135238,27,False,1,0.761,0.813,7,-5.948,1,0.141,0.636,0.0116,0.288,0.736,126.403,spotify:track:2EUkXTl3qJO6osQ3kLuJBQ
Figures,Gaidaa,Figures,2022-10-13,152590,42,False,1,0.79,0.369,1,-15.413,1,0.0673,0.00638,2.5e-06,0.113,0.484,103.995,spotify:track:7zEeY9dw8wpTrxn4Ll26bu
Borderline,Alfa Mist,Variables,2023-04-21,122826,36,True,2,0.612,0.467,9,-17.378,0,0.151,0.168,0.57,0.106,0.314,92.964,spotify:track:16Yyq9Hi2v4ZNL8NGNCSUG
Archetype,Joe Armon-Jones,Archetype,2023-04-05,317159,16,False,1,0.615,0.783,10,-6.764,0,0.195,0.0231,0.252,0.358,0.553,129.461,spotify:track:6rqpQW6qCRaz9rhzRCYZ7b
Three Drums,Four Tet,Three Drums,2023-04-26,495858,41,False,1,0.169,0.44,0,-10.385,1,0.0277,0.149,0.169,0.126,0.113,95.896,spotify:track:2FRIWWs5xxPoQrk5pMmsQN
Tasty,DaniLeigh,Tasty,2023-04-28,150799,46,True,1,0.655,0.554,11,-8.619,0,0.346,0.0224,1.09e-06,0.108,0.687,72.101,spotify:track:6lSwB0f2MN7uhJT7q4dRvS
For Granted (feat. Arin Ray),Dinner Party,Enigmatic Society,2023-04-14,172000,42,False,5,0.774,0.613,11,-8.713,0,0.0607,0.147,0.00757,0.328,0.344,95.011,spotify:track:39RJfDkli3BkEsW6LN4DrZ
Can't Go (feat. Phoelix),Dinner Party,Enigmatic Society,2023-04-14,164693,35,False,7,0.728,0.636,8,-8.551,0,0.0462,0.00841,0.712,0.291,0.604,90.3,spotify:track:0TuuzZDwssPfVQvgubXsYV
I Wish I Knew How It Would Feel to Be Free,Nina Simone,Silk & Soul (Expanded Edition),1967,188613,63,False,6,0.687,0.51,10,-8.501,1,0.076,0.745,0.0,0.117,0.666,122.253,spotify:track:5CKHhg31HcYYhwUeeGqvhq
Fireworks,Drake,Thank Me Later (Int'l Version),2010-01-01,313266,47,True,1,0.56,0.758,0,-6.472,1,0.345,0.428,0.0,0.162,0.521,90.52,spotify:track:4pUUhsc8fmZqnsPaOSU5CP
Honey Dove,Lee Fields & The Expressions,My World,2009-06-02,246573,48,False,3,0.487,0.497,4,-5.776,0,0.064,0.124,0.167,0.109,0.195,160.317,spotify:track:1emxi7e5EWFsJmwSKTuUDH
Sea Glass,Yazmin Lacey,Voice Notes,2023-03-03,370946,28,False,14,0.396,0.215,11,-16.53,0,0.0318,0.912,0.373,0.129,0.155,91.258,spotify:track:4ksIh1HrWcU4sQZeH9SOLs
I Want You Around,Snoh Aalegra,"- Ugh, those feels again",2019-08-16,212787,68,True,2,0.705,0.432,4,-9.7,1,0.205,0.381,0.133,0.0841,0.599,168.005,spotify:track:2gjidmxtA1pyj2HYrdOTG1
SMOKE W U,MXXWLL,SHEEESH,2020-05-22,68699,44,False,16,0.892,0.211,10,-7.163,1,0.256,0.0729,0.00028,0.353,0.744,82.542,spotify:track:0idIFv8uHY1Z2Wac5y47mv
Stokes Croft Sleep Clinic,Snazzback,Ruins Everything,2023-05-19,287426,24,False,5,0.551,0.654,6,-7.191,0,0.0628,0.681,0.533,0.0823,0.531,95.993,spotify:track:2Rs2UIUXmCNREHzEKJD6zW
"Follow The Earworm, Pt. 3",Move 78,"Follow The Earworm, Pt. 3",2023-05-26,199298,31,False,1,0.611,0.497,5,-12.776,0,0.0274,0.595,0.606,0.197,0.57,171.058,spotify:track:4GbM9p0WImO9Z84fk2QVfs
Devotion,Arlo Parks,My Soft Machine,2023-05-26,165759,39,False,3,0.462,0.704,3,-6.763,0,0.0524,0.0188,0.0164,0.23,0.387,168.011,spotify:track:5IcivgTMTJQFxh0ug2sg65
Sprinter,Dave,Sprinter,2023-06-01,229133,84,True,1,0.918,0.681,1,-4.705,1,0.201,0.263,0.0,0.0615,0.706,139.057,spotify:track:2FDTHlrBguDzQkp7PVj16Q
On & On (Again) - VIP,Confidence Man,On & On (Again) [VIP],2023-05-25,336149,17,False,1,0.692,0.922,7,-7.317,1,0.038,1.88e-05,0.856,0.355,0.513,133.992,spotify:track:3BetVdNjarWLgkQkqoEG1U
"Little heartbeat,",NEIL FRANCES,There is no Neil Frances,2022-01-28,227099,42,False,1,0.863,0.446,1,-13.347,0,0.0623,0.597,0.84,0.197,0.412,105.01,spotify:track:4V5xLe2NmHudPWyUabHJ0J
Sunnyside Up,Jazzbois,Sunnyside Up,2023-06-09,99469,40,False,1,0.734,0.31,8,-10.782,1,0.189,0.336,0.829,0.196,0.754,87.342,spotify:track:62OHzHbHoWgLCJQI7tliaS
It's like a dream,NEIL FRANCES,There is no Neil Frances,2022-01-28,187506,60,False,7,0.802,0.53,7,-9.104,0,0.0516,0.437,0.754,0.0824,0.893,119.954,spotify:track:6EJk6D8XbJsr6GjZp1XVT5
"in the starlight,",NEIL FRANCES,There is no Neil Frances,2022-01-28,125454,43,False,10,0.856,0.496,5,-12.014,1,0.0338,0.471,0.899,0.0933,0.831,109.999,spotify:track:1KHGLG3kUdDJ9dRzC2MCb3
Nomad,Σtella,Up and Away,2022-06-17,224448,50,False,2,0.557,0.453,9,-10.129,0,0.0307,0.599,0.455,0.12,0.338,77.019,spotify:track:68wrmZ8GgYlidAhERxI0Bz
Charmed,Σtella,Up and Away,2022-06-17,158359,74,False,4,0.782,0.359,11,-9.088,1,0.0302,0.417,0.0237,0.203,0.793,98.996,spotify:track:6DYLWAdxEJvwWmT7EkeDkX
Carnaval Soca - Antal Edit,Daniel Dimbas,La Differencia - Antal & Palms Trax Edits,2019-12-06,310449,0,False,1,0.613,0.748,5,-9.225,1,0.0542,0.0888,0.102,0.354,0.939,132.738,spotify:track:0nku8OHBKO0R5c9zIE0ZJ7
Honey - Dub,Younger Than Me,Honey,2016-04-07,403728,3,False,2,0.791,0.699,1,-11.489,1,0.0644,0.000524,0.845,0.0944,0.0942,118.004,spotify:track:5vMavMIC5qNAKQj5beQTnG
Rhythm - Young Marco Fix,Hot Slot Machine,Presents: Dance Forever,2018-08-27,448281,22,False,2,0.798,0.611,10,-9.482,0,0.0416,0.00314,0.881,0.032,0.528,113.755,spotify:track:0ec2JRsC9ltaEdM1SdMC8a
Love & Happiness (Yemaya Y Ochùn) [feat. India] - Dream Sequence,River Ocean,Love & Happiness (feat. India),1994-01-01,259200,0,False,2,0.558,0.581,2,-6.43,0,0.0319,0.0517,0.00579,0.0869,0.332,124.018,spotify:track:2EeAQUFOQXqYwGWhot4B7F
Rain,lordkez,Rain,2020-09-04,264000,31,False,1,0.892,0.599,11,-6.327,0,0.148,0.315,0.0621,0.727,0.464,120.053,spotify:track:74hFoPjhWZgXPPPmLDPpNh
Off Wiv Ya Headz,Nia Archives,Off Wiv Ya Headz,2023-06-09,206694,54,False,1,0.314,0.987,8,-2.759,0,0.199,0.0114,0.634,0.519,0.311,164.948,spotify:track:29LpCEcWnk9lFfzR2o3YVW
Backyard,Dre'es,HOME,2023-03-03,181998,10,True,2,0.456,0.724,7,-9.245,1,0.105,0.409,0.0,0.202,0.873,153.087,spotify:track:1ssksyInqVgyYngVbAU4oI
Motor Spirit,King Gizzard & The Lizard Wizard,"PetroDragonic Apocalypse; or, Dawn of Eternal Night: An Annihilation of Planet Earth and the Beginning of Merciless Damnation",2023-06-16,512898,51,True,1,0.314,0.953,4,-6.724,1,0.124,0.000986,0.0418,0.445,0.233,106.438,spotify:track:4HAkFNSjf5edeuY839m1RD
"Jimmy, Renda-Se",Tom Zé,Tom Zé,1970,221213,20,False,7,0.578,0.664,11,-11.8,0,0.103,0.14,4.6e-06,0.128,0.267,105.377,spotify:track:7mnmkNtSUpTAtI0PZFJWMo
Eternal,Hypaphonik,Altair,2022-03-25,411282,17,False,1,0.747,0.837,0,-12.254,0,0.0404,0.000707,0.906,0.268,0.118,117.007,spotify:track:3EmoqLofuFmcfDyGsfV5zT
Summer Madness,Kool & The Gang,Light Of Worlds,1974-09,257866,52,False,8,0.303,0.332,6,-16.471,0,0.032,0.00859,0.864,0.0654,0.41,175.85,spotify:track:5BxHfyGk49gqbg5BdW6FO4
Money - Kaidi Tatham Remix,Cody Currie,Money (Kaidi Tatham Remix),2023-03-13,227642,28,False,1,0.819,0.79,10,-7.822,0,0.0531,0.102,0.678,0.205,0.927,119.986,spotify:track:21OuAHMbZVnrSQme2RBuhI
Fricassee,Kaidi Tatham,Fricassee / The Only Way,2023-06-19,305584,5,False,1,0.812,0.702,1,-6.328,0,0.041,0.0886,0.862,0.063,0.522,119.063,spotify:track:0fmnd0kwtQXXm5zbjAw1wO
Lime Green Skies,Energy Exchange Ensemble,Lime Green Skies,2023-06-15,409844,19,False,1,0.645,0.942,1,-9.581,1,0.0469,0.117,0.879,0.0855,0.712,126.977,spotify:track:54XaIvn3IjlHZv1bVnrEJn
I Am The Black Gold Of The Sun - 4 Hero Remix,Nuyorican Soul,Clubbed To Death,2015-10-09,507760,28,False,10,0.423,0.638,8,-7.211,0,0.0387,0.168,0.664,0.141,0.314,114.045,spotify:track:0qZctuvYFQHOjtKSTlJpbE
Take off Your Clothes and Feel the Setting Sun,Wolfgang Dauner,The Oimels,2015-07-17,241013,25,False,2,0.473,0.447,3,-12.473,1,0.0435,0.545,6.85e-05,0.211,0.634,140.742,spotify:track:3Q8622AqGJt32HXSomCh7Q
I Can Say To You [Feat. Vanisha Gould] - Single Edit,Butcher Brown,I Can Say To You [Feat. Vanisha Gould],2023-06-13,217984,31,False,1,0.665,0.662,6,-9.842,0,0.462,0.554,0.00109,0.104,0.562,94.192,spotify:track:77QJgfFBYZQU0zXByezYGs
Blackbox Life Recorder 21f,Aphex Twin,Blackbox Life Recorder 21f,2023-06-21,266558,42,False,1,0.611,0.606,6,-14.231,1,0.0513,0.0913,0.904,0.0801,0.496,134.02,spotify:track:55q5FJy2MagUgplPVB0tjD
Forget Me Not,Say She She,Forget Me Not,2022-02-08,235791,37,False,1,0.779,0.642,5,-7.554,0,0.0484,0.21,0.126,0.0804,0.961,101.367,spotify:track:4GGy6xG1PIp1RXUNC2Tea3
Those Good Times,Kokoroko,Could We Be More,2022-08-05,253946,36,False,8,0.554,0.584,11,-10.301,1,0.0404,0.395,0.00675,0.213,0.516,85.673,spotify:track:0bC1l5BKvmASdvqoLTCbJE
Ekobah - Dub Reprise,Franck Roger,Ekobah,2020-11-06,401923,2,False,2,0.697,0.864,8,-10.315,1,0.039,0.000105,0.954,0.105,0.795,126.007,spotify:track:19t67MTvP5HLk0Ni6C2aaE
I Am The Black Gold Of The Sun,Nuyorican Soul,Nuyorican Soul,1997-01-01,319733,42,False,2,0.639,0.685,6,-10.99,1,0.0466,0.0178,0.515,0.0727,0.806,86.958,spotify:track:7jcMYtdnWiVWaCatYBAVqc
DOOLALLY,Hak Baker,Worlds End FM,2023-06-09,202493,36,True,2,0.667,0.92,9,-5.373,1,0.209,0.05,0.0,0.315,0.78,129.807,spotify:track:5C8EA3slynaIYe65TGltEg
Telephones 4 Eyes,Hak Baker,Worlds End FM,2023-06-09,189680,30,True,10,0.559,0.888,9,-4.834,0,0.183,0.0572,0.0,0.75,0.565,158.253,spotify:track:6jBVyToV2Mo3db0zAQMWBx
Almost Lost London,Hak Baker,Worlds End FM,2023-06-09,205133,18,False,15,0.266,0.412,8,-10.349,1,0.0313,0.85,0.00165,0.111,0.262,143.156,spotify:track:10whBIDUYk8Mg60DyvM1nj
The End of the World,Hak Baker,Worlds End FM,2023-06-09,402266,18,True,16,0.433,0.352,2,-14.346,1,0.471,0.948,0.0734,0.124,0.531,200.323,spotify:track:45HSB9FopItmqCIBQtkc1C
Ikigai,Joe Armon-Jones,Archetype,2023-06-09,299816,15,False,6,0.797,0.535,7,-6.261,0,0.0615,0.133,0.708,0.149,0.227,117.015,spotify:track:6SVYuIUiO0r43UEAwdl1he
Rago’s Garage,Joe Armon-Jones,Archetype,2023-06-09,225000,15,False,10,0.482,0.654,2,-6.849,1,0.152,0.0708,0.637,0.376,0.504,139.659,spotify:track:4V0wFD9dLUF9VbNNRjN9r4
Adrenaline/Oxygen,Joe Armon-Jones,Archetype,2023-06-09,548741,10,False,12,0.734,0.762,11,-9.012,0,0.0705,0.0119,0.883,0.341,0.589,131.999,spotify:track:1bM5100p44HuvJkfVcUNJg
Mates,John Carroll Kirby,Blowout,2023-06-30,297680,30,False,2,0.879,0.636,1,-6.48,1,0.0529,0.0534,0.492,0.0915,0.984,108.017,spotify:track:5J3Lj4W83S8iS3VRnnVOmo
Halfway House,Mike Collins,Lost Tapes 1983-1989,2017-02-03,297594,2,False,3,0.542,0.649,2,-11.565,1,0.0721,0.0282,0.906,0.0412,0.889,122.877,spotify:track:2LGH8xc9IkIX7Ny9PmCCDM
Wild Animals,Liv.e,Girl In The Half Pearl,2023-02-10,215813,41,True,11,0.672,0.514,5,-8.916,0,0.03,0.103,0.00013,0.0991,0.549,98.035,spotify:track:4JiLpvvnPiQtsf4izF1SQ5
Tezeta,Time Wharp,Spiro World,2022-06-17,366300,0,False,6,0.155,0.183,0,-14.769,1,0.0362,0.921,0.921,0.113,0.0388,73.882,spotify:track:78nbLpzdBdBdxZjbHr8UKZ
Birdy Bell - Nick León Remix,SUCHI,Birdy Bell (Nick León Remix),2023-06-13,323650,9,False,1,0.773,0.687,5,-6.971,0,0.0424,0.00234,0.871,0.0537,0.247,136.011,spotify:track:0QhAGPBjSoo5IkY100tKtA
Dash It,Mantra,FR016,2023-07-07,331745,11,False,2,0.664,0.993,1,-7.405,0,0.0726,0.0124,0.677,0.095,0.815,165.039,spotify:track:6sBswkktTcfAGQcaGKKTVb
Dreamer,Kiefer,Dreamer,2023-07-11,277297,20,False,1,0.536,0.397,7,-10.293,1,0.0587,0.295,0.852,0.0919,0.746,194.186,spotify:track:4qKrjXMsLzS5tcqfTcZA0Y
heaven hear me above,muva of Earth,heaven hear me above,2023-07-03,352680,31,False,1,0.412,0.284,0,-9.644,0,0.0375,0.9,0.00487,0.148,0.198,108.283,spotify:track:5xwvNDT2F9OYorl0QNrLgK
Point Me 2 (with Cardi B),FendiDa Rappa,Point Me 2 (with Cardi B),2023-07-07,225492,59,True,1,0.773,0.607,10,-6.768,0,0.382,0.0354,0.0,0.111,0.279,155.026,spotify:track:69ZBK01gsgWUnA55BEaAPu
"Wit Da Racks (feat. 21 Savage, Travis Scott & Yak Gotti)",Young Thug,BUSINESS IS BUSINESS,2023-06-23,226413,56,True,5,0.766,0.699,4,-7.214,0,0.299,0.00296,0.0,0.29,0.36,144.974,spotify:track:0r75DNlHu4recmKUdZeMfG
F.N.F. (Let's Go),Hitkidd,F.N.F. (Let's Go),2022-05-03,137579,59,True,1,0.864,0.476,1,-10.068,1,0.436,0.0374,0.0,0.374,0.647,157.144,spotify:track:1vrFJDrysqmsNAgyjBzx4f
Our 25th Birthday,Dave,Split Decision,2023-06-04,307973,62,True,3,0.592,0.545,0,-7.695,0,0.499,0.685,0.0,0.112,0.688,87.865,spotify:track:00ZQQArUJReFfsMnl8dIgd
